"","PH_1","theta_w_1","sigma_1","PH_2","theta_w_2","sigma_2","asc_2","x_female_2","x_mayor45_2","x_underage_in_household_2","x_only_worker_2","x_university_2","x_metropolitana_2","PH_3","theta_w_3","sigma_3","asc_3","x_female_3","x_mayor45_3","x_underage_in_household_3","x_only_worker_3","x_university_3","x_metropolitana_3","PH_4","theta_w_4","sigma_4","asc_4","x_female_4","x_mayor45_4","x_underage_in_household_4","x_only_worker_4","x_university_4","x_metropolitana_4"
"x_only_worker_2",25.465851649642,14.5519152283669,0,-43.6557456851006,-25.465851649642,32.7418092638254,-98.2254277914762,-47.2937244921923,-50.931703299284,-43.6557456851006,-98.2254277914762,-21.8278728425503,-7.27595761418343,-374.711817130446,-72.7595761418343,7.27595761418343,32.7418092638254,18.1898940354586,21.8278728425503,25.465851649642,36.3797880709171,0,7.27595761418343,54.5696821063757,36.3797880709171,3.63797880709171,21.8278728425503,7.27595761418343,21.8278728425503,3.63797880709171,21.8278728425503,7.27595761418343,3.63797880709171
"x_university_2",14.5519152283669,7.27595761418343,0,-40.0177668780088,-109.139364212751,10.9139364212751,-90.9494701772928,-50.931703299284,-29.1038304567337,-43.6557456851006,-21.8278728425503,-90.9494701772928,-18.1898940354586,3.63797880709171,0,0,0,3.63797880709171,3.63797880709171,3.63797880709171,0,0,3.63797880709171,43.6557456851006,29.1038304567337,3.63797880709171,14.5519152283669,7.27595761418343,10.9139364212751,3.63797880709171,7.27595761418343,14.5519152283669,0
"x_metropolitana_2",14.5519152283669,7.27595761418343,0,10.9139364212751,-25.465851649642,10.9139364212751,-50.931703299284,-29.1038304567337,-18.1898940354586,-25.465851649642,-7.27595761418343,-18.1898940354586,-54.5696821063757,-69.1215973347425,-10.9139364212751,0,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,0,7.27595761418343,10.9139364212751,7.27595761418343,3.63797880709171,3.63797880709171,3.63797880709171,3.63797880709171,0,0,0,3.63797880709171
"PH_3",-232.83064365387,-116.415321826935,-18.1898940354586,-2652.08655036986,-1164.15321826935,50.931703299284,-396.539689972997,-225.554686039686,-105.50138540566,-283.762346953154,-374.711817130446,3.63797880709171,-69.1215973347425,-75120.6243876368,-9211.36233955622,50.931703299284,687.577994540334,341.970007866621,221.916707232594,451.109372079372,625.732354819775,0,109.139364212751,-622.094376012683,-411.091605201364,3.63797880709171,-123.691279441118,-40.0177668780088,-58.2076609134674,-65.4836185276508,-98.2254277914762,3.63797880709171,-14.5519152283669
"theta_w_3",-87.3114913702011,-43.6557456851006,7.27595761418343,-1062.28981167078,-611.180439591408,7.27595761418343,-83.6735125631094,-47.2937244921923,-32.7418092638254,-50.931703299284,-72.7595761418343,0,-10.9139364212751,-9211.36233955622,-2281.0127120465,7.27595761418343,127.32925824821,61.8456397205591,61.8456397205591,69.1215973347425,105.50138540566,0,21.8278728425503,-316.504156216979,-240.106601268053,0,-47.2937244921923,-18.1898940354586,-25.465851649642,-21.8278728425503,-32.7418092638254,0,-10.9139364212751
"sigma_3",-3.63797880709171,0,0,-21.8278728425503,-3.63797880709171,3.63797880709171,7.27595761418343,3.63797880709171,3.63797880709171,3.63797880709171,7.27595761418343,0,0,50.931703299284,7.27595761418343,-3.63797880709171,-7.27595761418343,-3.63797880709171,0,0,-3.63797880709171,0,0,-7.27595761418343,-3.63797880709171,0,0,0,0,-3.63797880709171,0,0,0
"asc_3",10.9139364212751,7.27595761418343,-7.27595761418343,225.554686039686,47.2937244921923,-18.1898940354586,36.3797880709171,14.5519152283669,14.5519152283669,18.1898940354586,32.7418092638254,0,3.63797880709171,687.577994540334,127.32925824821,-7.27595761418343,-54.5696821063757,-32.7418092638254,-18.1898940354586,-32.7418092638254,-50.931703299284,0,-7.27595761418343,0,-3.63797880709171,0,-3.63797880709171,0,0,-3.63797880709171,-3.63797880709171,0,-3.63797880709171
"x_female_3",7.27595761418343,7.27595761418343,-3.63797880709171,109.139364212751,10.9139364212751,-7.27595761418343,18.1898940354586,18.1898940354586,10.9139364212751,10.9139364212751,18.1898940354586,3.63797880709171,3.63797880709171,341.970007866621,61.8456397205591,-3.63797880709171,-32.7418092638254,-32.7418092638254,-10.9139364212751,-18.1898940354586,-29.1038304567337,0,0,3.63797880709171,3.63797880709171,3.63797880709171,0,0,3.63797880709171,0,0,0,0
"x_mayor45_3",0,3.63797880709171,0,18.1898940354586,-14.5519152283669,-3.63797880709171,21.8278728425503,10.9139364212751,18.1898940354586,7.27595761418343,21.8278728425503,3.63797880709171,3.63797880709171,221.916707232594,61.8456397205591,0,-18.1898940354586,-10.9139364212751,-18.1898940354586,-3.63797880709171,-18.1898940354586,0,0,3.63797880709171,3.63797880709171,3.63797880709171,0,3.63797880709171,3.63797880709171,0,0,3.63797880709171,0
"x_underage_in_household_3",10.9139364212751,7.27595761418343,0,152.795109897852,32.7418092638254,-7.27595761418343,25.465851649642,14.5519152283669,10.9139364212751,21.8278728425503,25.465851649642,3.63797880709171,3.63797880709171,451.109372079372,69.1215973347425,0,-32.7418092638254,-18.1898940354586,-3.63797880709171,-29.1038304567337,-29.1038304567337,0,0,0,0,3.63797880709171,0,3.63797880709171,3.63797880709171,0,3.63797880709171,3.63797880709171,0
